part,start_date_local,end_date_local,notes
rear derailleur,2023-05-28,2024-07-15
pulley wheels,2023-05-28,2023-11-04,no issue just an upgrade
pulley wheels,2023-11-04,2024-11-06
pulley wheels, 2024-11-06,2025-09-20
chain,2023-05-28,2023-10-07,swapping two chains
chain,2023-10-07,2024-01-30,one chain ring needed filed otherwise ok
chain,2024-01-30,2024-07-15
chain,2024-07-15,2024-09-05,frozen link bad chain from Bishkek
chain,2024-09-05,2024-11-30
chain,2024-11-30,2025-07-23
chain,2025-07-23,2025-09-20
cassette,2023-05-28,2023-10-07,swapping two chains
cassette,2023-10-07,2024-01-30,one chain ring needed filed otherwise ok
cassette,2024-01-30,2024-07-15
cassette,2024-07-15,2024-11-30
cassette,2024-11-30,2025-07-23
cassette,2025-07-23,2025-09-20
chain rings,2023-05-28,2023-10-07,swapping two chains
chain rings,2023-10-07,2024-07-15
chain rings,2024-07-15,2024-11-30
chain rings,2024-11-30,2025-07-23
bottom bracket,2023-05-28,2023-10-07
bottom bracket,2023-10-07,2024-09-05
bottom bracket,2024-09-05,2024-12-27
bottom bracket,2024-12-27,2025-07-13
bottom bracket,2025-07-13,2025-09-20
cables/ housing,2023-05-28,2023-11-04,bag rub needed replaced
cables/ housing,2023-11-04,2024-03-20
cables/ housing,2024-03-20,2024-07-15
cables/ housing,2024-07-15,2025-09-20
pedals,2023-05-28,2024-05-04
pedals,2024-05-04,2024-09-05
pedals,2024-09-05,2025-07-05,wanted metal pins
grips,2023-05-28,2024-04-01
grips,2024-04-01,2025-07-05
front derailleur,2023-05-28,2024-11-06,swap road derailleur from mtb for better shifting
front brake,2023-05-28,2023-10-21,leaking and broken
rear brake,2023-05-28,2024-03-20,preemptive replacement
front brake,2023-10-21,2024-11-06,preemptive 
rear brake,2024-03-20,2024-11-06,preemptive 
rotors,2023-05-28,2024-07-15
rotors,2024-07-15,2024-11-06,bad rotors from Bishkek
front hub rebuild,2023-05-28,2023-10-07
front hub rebuild,2024-07-15,2025-09-02
front hub replace,2023-05-28,2024-07-15
rear hub replace,2023-05-28,2024-07-15
rear hub rebuild,2024-07-15,2025-10-09
front rim,2023-05-28,2024-07-15
back rim,2023-05-28,2023-08-12
back rim,2023-08-12,2024-07-15
handle bar,2023-05-28,2024-07-15,premetive
seat,2023-05-28,2025-07-05,prementive
tires,2023-05-28
frame,2023-02-23